[INFO] 2026-01-28 21:11:03,489 autoreload Watching for file changes with StatReloader
[DEBUG] 2026-01-28 21:11:03,860 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\_compression.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,860 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\asyncio\protocols.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,860 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1768573764.9356084
[DEBUG] 2026-01-28 21:11:03,860 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django_filters\rest_framework\filterset.py first seen with mtime 1769607637.8799777
[DEBUG] 2026-01-28 21:11:03,860 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1768573761.8982975
[DEBUG] 2026-01-28 21:11:03,860 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\asyncio\transports.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,861 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1768573763.6634834
[DEBUG] 2026-01-28 21:11:03,861 autoreload File D:\Python Journey\Python training\python-core\day27\expense_tracker\expenses\serializers.py first seen with mtime 1769439405.3790536
[DEBUG] 2026-01-28 21:11:03,861 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\wsgiref\__init__.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,861 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\apps\__init__.py first seen with mtime 1768573761.3505023
[DEBUG] 2026-01-28 21:11:03,861 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\ssl.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,861 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1768573766.2086406
[DEBUG] 2026-01-28 21:11:03,862 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\json\encoder.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,862 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\management\utils.py first seen with mtime 1768573766.0550787
[DEBUG] 2026-01-28 21:11:03,862 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\response.py first seen with mtime 1769439193.6040144
[DEBUG] 2026-01-28 21:11:03,862 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1768573766.2086406
[DEBUG] 2026-01-28 21:11:03,862 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\permissions.py first seen with mtime 1769439193.5985732
[DEBUG] 2026-01-28 21:11:03,862 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\__init__.py first seen with mtime 1768573766.086025
[DEBUG] 2026-01-28 21:11:03,864 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1768573766.167158
[DEBUG] 2026-01-28 21:11:03,864 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\wsgi.py first seen with mtime 1768573765.9925027
[DEBUG] 2026-01-28 21:11:03,864 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\glob.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,864 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1768573766.1008377
[DEBUG] 2026-01-28 21:11:03,865 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1768573766.4077995
[DEBUG] 2026-01-28 21:11:03,865 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\email\_parseaddr.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,866 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1768573765.9718542
[DEBUG] 2026-01-28 21:11:03,866 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\files.py first seen with mtime 1768573766.00599
[DEBUG] 2026-01-28 21:11:03,866 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\encodings\utf_8.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,866 autoreload File D:\Python Journey\Python training\python-core\day27\expense_tracker\expense_tracker\settings.py first seen with mtime 1769614862.356399
[DEBUG] 2026-01-28 21:11:03,866 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\logging\config.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,867 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\migrations\writer.py first seen with mtime 1768573766.1573646
[DEBUG] 2026-01-28 21:11:03,867 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\typing.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,867 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\asyncio\format_helpers.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,867 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\functions\json.py first seen with mtime 1768573766.2000854
[DEBUG] 2026-01-28 21:11:03,867 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1768573766.1852217
[DEBUG] 2026-01-28 21:11:03,867 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\getpass.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,868 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\authentication.py first seen with mtime 1769439193.5800388
[DEBUG] 2026-01-28 21:11:03,868 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\paginator.py first seen with mtime 1768573765.9887507
[DEBUG] 2026-01-28 21:11:03,868 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\exceptions.py first seen with mtime 1768573765.9867442
[DEBUG] 2026-01-28 21:11:03,868 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\pickle.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,868 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1768573766.1446218
